T,Energy,Energy_SEM,Magnetization,Magnetization_SEM,Acceptance,Acceptance_SEM,Energy2,Energy2_SEM,Magnetization2,Magnetization2_SEM,SpecificHeat,MagneticSusceptibility
6.4,-0.32608886718749996,0.0005974244310162959,-0.00046484374999999987,0.0009629417049949743,0.5177664776504782,0.00012246614848608183,0.10686138916015624,0.0003960673875518727,0.0005354223251342774,0.000018273851723909004,0.00001287694962229592,0.00008362597584724427
6.2,-0.33837207031249994,0.0003716389395687813,0.0016337890625,0.0008797649884693771,0.522272002540824,0.0001138839108880697,0.1150157527923584,0.00024852859388720344,0.0005459938049316406,0.000015872059992562828,0.000013530042268236162,0.00008763299003724128
6,-0.34837060546875004,0.0006225411877162295,0.0009838867187499998,0.001114105775910161,0.5264559893775295,0.00010596446626781313,0.12192245912551877,0.0004436845223348467,0.0005672042369842528,0.000030053455173784296,0.00001556612141264656,0.0000943727006514867
5.8,-0.362767578125,0.0006551278101732179,-0.000056884765624999915,0.0009181131484719016,0.5303170275387028,0.00009764351325534586,0.13218681335449217,0.00047430175492681263,0.0005868271589279175,0.000028552460166524538,0.000017434530791147342,0.00010117653845713058
5.6,-0.376994140625,0.0005506912915509835,0.001137939453125,0.0008418599222386382,0.533867831984195,0.00008976493282355773,0.1426849670410156,0.0004156691958187882,0.0006020158529281617,0.000030125390988112797,0.000017869418859481582,0.00010727159763021129
5.4,-0.39271630859375,0.0005950123468288029,-0.001009521484375,0.0011145520502970807,0.5371080282733213,0.00008206268124362145,0.15480700254440308,0.00045833578725096877,0.0005903683900833131,0.00001944741644868897,0.000019921245161233922,0.00010913875119553673
5.2,-0.41014941406249994,0.00043137220779616294,-0.00047802734374999994,0.0011293691352729962,0.5400377627081145,0.00007380944213545472,0.16877303791046144,0.00035199265459370403,0.0005911099910736084,0.0000169917313295374,0.000020358581902714776,0.00011363105402542993
5,-0.42704638671875,0.0005315238919777966,-0.0024887695312499998,0.0011638731424839003,0.5426611477403978,0.00006604538065920921,0.18297139978408813,0.0004536628352621154,0.0006825194358825682,0.00003728613526219666,0.000024111334981917754,0.00013526509242057797
4.8,-0.44993701171874995,0.0006164950385408389,-0.00027661132812500006,0.0012766410948185983,0.5449695467862217,0.0000579631959530954,0.20305289697647097,0.0005451134771212487,0.0007607632875442506,0.000041066267695507576,0.000026457572138560474,0.00015847641119112575
4.6,-0.4705634765625001,0.0008657614039287725,0.0016513671875,0.0016228277726449173,0.5469621587328355,0.00005013026525867023,0.2220244045257568,0.0008250969615988857,0.0008175060749053955,0.000041211044379858006,0.00002809163757893419,0.0001771258828950965
4.4,-0.49614843750000004,0.0006054954473700755,-0.0023581542968750006,0.0011831570792345527,0.5486291257161768,0.000041554452418395596,0.24677900981903073,0.0005996768682040519,0.0008782621622085571,0.00003490434585105242,0.000031804637672482996,0.00019834119784561068
4.2,-0.5251704101562499,0.0005570616939833724,-0.00029101562499999993,0.0010591254669047956,0.5499610585318633,0.000033059549349118526,0.2764438729286194,0.0005823614658545781,0.00080370831489563,0.00002885324582453886,0.00003627625991698827,0.00019133895828610375
4,-0.55622509765625,0.0006423560039786881,0.003786865234375,0.001669462672223286,0.5509375921581544,0.000023839317437778066,0.3100132737159729,0.0007245596555991164,0.0010539549589157105,0.00005227289022036864,0.00003918215332925773,0.0002599036526530981
3.8,-0.5929106445312499,0.001012394023576641,0.0026359863281249997,0.00175713627163415,0.5515444833451043,0.000014265837921861858,0.35222278165817256,0.0011982323220975817,0.0011213036775588989,0.0000774016932893036,0.00004707404845640077,0.0002932513825360098
3.6,-0.6381845703125001,0.001265356115341767,0.0026962890625,0.0030684930627790145,0.5517558342711127,0.0000035390471888481146,0.4080386457443237,0.0016312184504865277,0.0015289094448089596,0.00008855834364917425,0.000058572527729424675,0.0004226776305834451
3.4,-0.6858164062500001,0.0010893474364828781,0.0015195312499999998,0.0020766003745179276,0.5515303170446814,0.000007282111455137408,0.47109663009643554,0.0014913883344874741,0.0016082918643951414,0.0001259772665965117,0.00006509403241958747,0.0004723479085810044
3.2,-0.7442436523437499,0.001230368464182722,0.00297021484375,0.003260074099418219,0.550836544422715,0.00001962478459129804,0.5546855235099792,0.0018200764230117408,0.0017049272060394288,0.0001314430065149673,0.00007684662656394372,0.0005300328218191862
